,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1981,667,1468,-57,184377,28425,3203,5145,68016,29499,33553,48315,2274,5488,70490,2682,-1462,4144,551,262
1982,736,1490,28,171030,26537,3805,4813,60230,25221,60230,38858,2033,5311,61500,2644,-1184,3828,1490,185
1983,776,1583,106,154794,27051,3838,5098,58634,26203,29164,26203,2149,4956,63895,3102,-1234,4336,990,106
1984,690,1529,-144,159350,38795,5837,6391,68266,27906,57399,32367,2131,4902,69263,3017,-1329,4346,975,1496
1985,660,1506,-25,152638,25548,1063,5361,57405,20042,28429,35039,2386,4650,79392,2834,-2297,5131,956,493
1986,610,1448,-239,167062,22594,5483,4061,52323,31804,47212,32240,2283,4847,76546,2731,-1978,4709,849,-202
1987,679,1533,-14,167467,32105,6334,4630,65936,26647,42489,31893,2213,4324,78080,2873,-2245,5118,1227,566
1988,717,1478,2,166984,22503,5758,3870,49949,31574,42289,49949,2048,5297,64229,2740,-1126,3866,2,961
1989,857,1529,378,124069,23416,2138,5360,46215,19538,35349,20899,2090,5942,51548,2772,-746,3518,733,824
1990,841,1558,175,167719,35563,4013,6309,56027,24335,56027,50814,2069,5020,59312,2760,-1362,4122,1558,794
1991,743,1622,65,136020,25696,2002,5523,49981,21723,31465,34386,2150,4753,66717,2702,-1822,4524,1301,240
1992,761,1612,76,150059,23244,2589,5083,56063,20715,37118,32255,2047,4787,69534,2875,-1401,4276,390,939
1993,725,1523,-4,146290,21401,2552,5154,53989,21288,51719,29777,2333,5321,67315,2880,-1504,4384,1410,281
1994,864,1690,289,165836,30554,4267,5344,61271,24768,38046,25139,2049,5113,64443,2913,-1095,4008,1037,340
1995,741,1592,157,190435,28676,1304,5563,69395,25493,35526,56267,2160,4728,68884,2922,-1647,4569,622,503
1996,730,1466,-52,139763,23173,4004,5061,47399,23764,46694,26323,2140,5542,62397,2544,-1318,3862,450,209
1997,828,1536,340,146432,21622,3162,4710,58295,22347,47278,29708,2042,6067,55012,2583,-783,3366,1493,465
1998,798,1581,103,141256,22440,3314,5599,54573,15378,39326,24173,2300,5492,64597,2926,-1262,4188,782,218
1999,782,1576,-29,188894,23029,6687,3366,61521,36451,40616,53654,2146,5121,71001,2651,-1539,4190,1103,427
2000,855,1618,272,137743,22156,3034,4674,42413,22151,41387,28512,2084,4915,65289,2767,-1472,4239,582,934
2001,762,1524,15,186647,30825,6164,5071,62957,20399,54042,20399,2074,4880,68375,2715,-1534,4249,774,15
2002,836,1568,337,170909,24693,4579,4457,57021,26422,52375,49928,2018,5044,52493,2884,-1116,4000,549,480
2003,838,1923,99,120521,17345,4855,3588,40573,15631,33111,15631,2283,5071,79131,3057,-1446,4503,585,99
2004,788,1549,144,130741,24431,1588,6054,51226,14198,49549,14198,2166,5479,64662,2730,-1223,3953,907,144
2005,708,1588,-320,139895,21072,5620,4277,46372,23563,44151,27690,2332,4999,85011,2830,-1836,4666,1556,366
2006,771,1522,58,169811,29929,3381,5323,61107,23709,54817,45691,2089,4961,67082,2835,-1376,4211,576,554
2007,754,1544,51,181783,29608,2434,6309,79768,17874,77288,34449,2135,5335,66132,2744,-1258,4002,1401,228
2008,728,1542,44,135322,18272,4884,3698,43387,20798,41991,27871,2178,5588,67278,2724,-1173,3897,1417,50
2009,810,1631,-94,123927,19491,3604,4667,44676,19758,33816,37994,2145,5058,78555,2854,-1387,4241,105,948
2010,689,1624,-109,117985,22068,2105,5243,38606,19841,38606,33926,2302,5248,78495,2856,-1531,4387,1624,506
2011,8.72208333333333,15.35,2.44166666666667,1171.1,246.28,1.02,70.7417548800553,437.8,121.04,431.6,332.76,21.7591666666667,54.7675979528484,605.782343838165,28.04,-11.69,39.73,14.1716666666667,5.495
2012,7.91666666666667,16.785,0.186666666666667,1477.79,191.34,21.37,42.297765576211,471.39,203.09,414.09,363.62,23.3916666666667,47.6991571506253,739.205080823415,28.83,-20.21,49.04,3.99666666666667,3.52666666666667
2013,7.14291666666667,17.135,-1.05166666666667,1683.8,235.99,84.22,34.3235438856467,490.29,299.82,355.64,299.82,21.6741666666667,50.078943314849,791.592165952247,28.94,-14.34,43.28,5.025,-1.05166666666667
2014,8.79291666666667,15.615,2.75166666666667,1538.09,394.2,47.07,72.1952947458241,643.88,247.65,643.88,294.49,20.2641666666667,49.5820079928228,556.937790647676,28.33,-12.54,40.87,15.615,8.29833333333333
2015,8.51,17.9,1.60833333333333,1375.05,203.94,25.81,45.4441098367214,491.39,195.72,285.71,214.4,20.8816666666667,49.4943509520424,697.222704736442,31.46,-10.73,42.19,7.20333333333333,2.14666666666667
8110,758,1565,55,154525,25409,3787,4993,55453,23301,44035,33818,2162,5141,67889,2805,-1423,4228,933,448
CHELSA,57,148,-26,1634,168,113,13,482,346,480,371,80,300,6433,200,-66,266,116,-25
worldclim,50,127,-29,1362,134,95,10,379,318,345,379,80,31,6117,187,-68,255,-16,41
